"Manchmal fühlte es sich so an, als sei der gesehene Körper mein eigener."
"Manchmal fühlte es sich so an, als gehöre der gesehene Körper den ich sah jemand anderem."
"Manchmal schien es, als ob ich direkt meinen Körper anschaute, anstatt den Körper einer anderen Person."
"Manchmal fühlte es sich so an, als könne ich den gesehenen Körper so kontrollieren als wäre er mein eigener."
"Manchmal fühlte es sich so an, als würden die Bewegungen des gesehenen Körpers von meinen eigenen Bewegungen gesteuert."
"Manchmal fühlte es sich so an, als würden meine Bewegungen von jemand anderem gesteuert."
"Es schien, als ob ich die Berührung dort spürte, wo ich die Berührungen des Versuchsleiters sah."
"Es schien, als ob die Berührung, die ich spürte, durch die Berührungen die ich sah bedingt waren. "
"Es fühlte sich so an, als befinde sich mein Körper an der Stelle des gesehenen Körpers."
"Es fühlte sich so an, als befinde sich der gesehene Körper an der Stelle wo sich mein eigener Körper befindet."
